Java HotSpot(TM) 64-Bit Server VM (25.92-b14) for windows-amd64 JRE (1.8.0_92-b14), built on Mar 31 2016 21:03:04 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 4098148k(791192k free), swap 8292452k(2444692k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=./dumps/ -XX:InitialHeapSize=536870912 -XX:+ManagementServer -XX:MaxHeapSize=536870912 -XX:MaxMetaspaceSize=268435456 -XX:OnOutOfMemoryError=taskkill /F /PID %p -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC -XX:+UseParallelOldGC 
2017-11-08T16:03:10.503+0300: 367.902: [Full GC (Ergonomics) [PSYoungGen: 131584K->131409K(153088K)] [ParOldGen: 349325K->349325K(349696K)] 480909K->480734K(502784K), [Metaspace: 9733K->9733K(1058816K)], 1.5670961 secs] [Times: user=5.19 sys=0.05, real=1.57 secs] 
2017-11-08T16:03:12.071+0300: 369.470: [Full GC (Ergonomics) [PSYoungGen: 131584K->131409K(153088K)] [ParOldGen: 349325K->349325K(349696K)] 480909K->480735K(502784K), [Metaspace: 9733K->9733K(1058816K)], 1.0640475 secs] [Times: user=3.88 sys=0.00, real=1.06 secs] 
2017-11-08T16:03:13.135+0300: 370.534: [Full GC (Ergonomics) [PSYoungGen: 131584K->131409K(153088K)] [ParOldGen: 349325K->349325K(349696K)] 480909K->480735K(502784K), [Metaspace: 9733K->9733K(1058816K)], 1.0762171 secs] [Times: user=3.94 sys=0.00, real=1.08 secs] 
2017-11-08T16:03:14.212+0300: 371.611: [Full GC (Ergonomics) [PSYoungGen: 131584K->131416K(153088K)] [ParOldGen: 349325K->349325K(349696K)] 480909K->480742K(502784K), [Metaspace: 9733K->9733K(1058816K)], 1.2476662 secs] [Times: user=3.86 sys=0.00, real=1.25 secs] 
2017-11-08T16:03:15.460+0300: 372.859: [Full GC (Ergonomics) [PSYoungGen: 131584K->131416K(153088K)] [ParOldGen: 349325K->349325K(349696K)] 480909K->480742K(502784K), [Metaspace: 9733K->9733K(1058816K)], 1.1325436 secs] [Times: user=3.80 sys=0.00, real=1.13 secs] 
2017-11-08T16:03:16.595+0300: 373.994: [Full GC (Ergonomics) [PSYoungGen: 131584K->131420K(153088K)] [ParOldGen: 349325K->349325K(349696K)] 480909K->480746K(502784K), [Metaspace: 9733K->9733K(1058816K)], 1.4323155 secs] [Times: user=5.05 sys=0.00, real=1.43 secs] 
2017-11-08T16:03:18.027+0300: 375.426: [Full GC (Ergonomics) [PSYoungGen: 131584K->131420K(153088K)] [ParOldGen: 349325K->349325K(349696K)] 480909K->480746K(502784K), [Metaspace: 9733K->9733K(1058816K)], 0.9907075 secs] [Times: user=3.63 sys=0.00, real=0.99 secs] 
2017-11-08T16:03:19.018+0300: 376.417: [Full GC (Ergonomics) [PSYoungGen: 131584K->131423K(153088K)] [ParOldGen: 349325K->349325K(349696K)] 480909K->480748K(502784K), [Metaspace: 9733K->9733K(1058816K)], 1.0422530 secs] [Times: user=3.74 sys=0.00, real=1.04 secs] 
2017-11-08T16:03:20.062+0300: 377.462: [Full GC (Ergonomics) [PSYoungGen: 131584K->131450K(153088K)] [ParOldGen: 349325K->349325K(349696K)] 480909K->480775K(502784K), [Metaspace: 9738K->9738K(1058816K)], 1.4134350 secs] [Times: user=4.98 sys=0.02, real=1.41 secs] 
2017-11-08T16:03:21.477+0300: 378.876: [Full GC (Ergonomics) [PSYoungGen: 131584K->131458K(153088K)] [ParOldGen: 349325K->349325K(349696K)] 480909K->480783K(502784K), [Metaspace: 9738K->9738K(1058816K)], 0.9598493 secs] [Times: user=3.63 sys=0.00, real=0.96 secs] 
2017-11-08T16:03:22.437+0300: 379.837: [Full GC (Ergonomics) [PSYoungGen: 131584K->131461K(153088K)] [ParOldGen: 349325K->349325K(349696K)] 480909K->480786K(502784K), [Metaspace: 9738K->9738K(1058816K)], 0.9871624 secs] [Times: user=3.56 sys=0.00, real=0.99 secs] 
2017-11-08T16:03:23.425+0300: 380.824: [Full GC (Ergonomics) [PSYoungGen: 131584K->131468K(153088K)] [ParOldGen: 349325K->349325K(349696K)] 480909K->480793K(502784K), [Metaspace: 9738K->9738K(1058816K)], 0.9638481 secs] [Times: user=3.70 sys=0.00, real=0.96 secs] 
2017-11-08T16:03:24.389+0300: 381.789: [Full GC (Ergonomics) [PSYoungGen: 131584K->131478K(153088K)] [ParOldGen: 349325K->349325K(349696K)] 480909K->480804K(502784K), [Metaspace: 9738K->9738K(1058816K)], 0.9801765 secs] [Times: user=3.63 sys=0.00, real=0.98 secs] 
2017-11-08T16:03:25.372+0300: 382.771: [Full GC (Ergonomics) [PSYoungGen: 131584K->131503K(153088K)] [ParOldGen: 349325K->349324K(349696K)] 480909K->480828K(502784K), [Metaspace: 9739K->9739K(1058816K)], 1.4032901 secs] [Times: user=5.17 sys=0.02, real=1.40 secs] 
2017-11-08T16:03:26.776+0300: 384.175: [Full GC (Ergonomics) [PSYoungGen: 131584K->131510K(153088K)] [ParOldGen: 349324K->349324K(349696K)] 480908K->480835K(502784K), [Metaspace: 9739K->9739K(1058816K)], 0.9696477 secs] [Times: user=3.70 sys=0.00, real=0.97 secs] 
2017-11-08T16:03:27.746+0300: 385.145: [Full GC (Ergonomics) [PSYoungGen: 131584K->131510K(153088K)] [ParOldGen: 349324K->349324K(349696K)] 480908K->480835K(502784K), [Metaspace: 9739K->9739K(1058816K)], 0.9870234 secs] [Times: user=3.64 sys=0.00, real=0.99 secs] 
2017-11-08T16:03:28.734+0300: 386.133: [Full GC (Ergonomics) [PSYoungGen: 131584K->131516K(153088K)] [ParOldGen: 349324K->349324K(349696K)] 480908K->480841K(502784K), [Metaspace: 9739K->9739K(1058816K)], 0.9742798 secs] [Times: user=3.64 sys=0.00, real=0.97 secs] 
2017-11-08T16:03:29.709+0300: 387.109: [Full GC (Ergonomics) [PSYoungGen: 131584K->131532K(153088K)] [ParOldGen: 349324K->349324K(349696K)] 480908K->480857K(502784K), [Metaspace: 9739K->9739K(1058816K)], 0.9933396 secs] [Times: user=3.55 sys=0.00, real=0.99 secs] 
2017-11-08T16:03:30.704+0300: 388.103: [Full GC (Ergonomics) [PSYoungGen: 131584K->131545K(153088K)] [ParOldGen: 349324K->349324K(349696K)] 480908K->480870K(502784K), [Metaspace: 9739K->9739K(1058816K)], 0.9931014 secs] [Times: user=3.72 sys=0.00, real=0.99 secs] 
2017-11-08T16:03:31.699+0300: 389.098: [Full GC (Ergonomics) [PSYoungGen: 131584K->131550K(153088K)] [ParOldGen: 349324K->349324K(349696K)] 480908K->480875K(502784K), [Metaspace: 9739K->9739K(1058816K)], 0.9738159 secs] [Times: user=3.66 sys=0.00, real=0.97 secs] 
2017-11-08T16:03:32.675+0300: 390.075: [Full GC (Ergonomics) [PSYoungGen: 131584K->131556K(153088K)] [ParOldGen: 349324K->349324K(349696K)] 480908K->480881K(502784K), [Metaspace: 9740K->9740K(1058816K)], 0.9691243 secs] [Times: user=3.66 sys=0.00, real=0.97 secs] 
2017-11-08T16:03:33.645+0300: 391.045: [Full GC (Ergonomics) [PSYoungGen: 131584K->131568K(153088K)] [ParOldGen: 349324K->349324K(349696K)] 480908K->480893K(502784K), [Metaspace: 9740K->9740K(1058816K)], 0.9767353 secs] [Times: user=3.67 sys=0.00, real=0.98 secs] 
2017-11-08T16:03:34.623+0300: 392.022: [Full GC (Ergonomics) [PSYoungGen: 131584K->131568K(153088K)] [ParOldGen: 349324K->349324K(349696K)] 480908K->480892K(502784K), [Metaspace: 9740K->9740K(1058816K)], 0.9780687 secs] [Times: user=3.78 sys=0.00, real=0.98 secs] 
2017-11-08T16:03:35.602+0300: 393.001: [Full GC (Ergonomics) [PSYoungGen: 131583K->131571K(153088K)] [ParOldGen: 349324K->349307K(349696K)] 480908K->480878K(502784K), [Metaspace: 9740K->9740K(1058816K)], 1.3977587 secs] [Times: user=5.09 sys=0.00, real=1.40 secs] 
2017-11-08T16:03:37.000+0300: 394.400: [Full GC (Ergonomics) [PSYoungGen: 131584K->131570K(153088K)] [ParOldGen: 349307K->349307K(349696K)] 480891K->480877K(502784K), [Metaspace: 9740K->9740K(1058816K)], 0.9730358 secs] [Times: user=3.67 sys=0.00, real=0.97 secs] 
2017-11-08T16:03:37.974+0300: 395.373: [Full GC (Ergonomics) [PSYoungGen: 131584K->131577K(153088K)] [ParOldGen: 349307K->349307K(349696K)] 480891K->480884K(502784K), [Metaspace: 9740K->9740K(1058816K)], 0.9924561 secs] [Times: user=3.67 sys=0.00, real=0.99 secs] 
2017-11-08T16:03:38.967+0300: 396.366: [Full GC (Ergonomics) [PSYoungGen: 131584K->131579K(153088K)] [ParOldGen: 349307K->349307K(349696K)] 480891K->480887K(502784K), [Metaspace: 9740K->9740K(1058816K)], 1.3835667 secs] [Times: user=5.00 sys=0.02, real=1.38 secs] 
2017-11-08T16:03:40.351+0300: 397.750: [Full GC (Ergonomics) [PSYoungGen: 131584K->131573K(153088K)] [ParOldGen: 349307K->349277K(349696K)] 480891K->480851K(502784K), [Metaspace: 9740K->9679K(1058816K)], 1.4033316 secs] [Times: user=5.16 sys=0.00, real=1.40 secs] 
2017-11-08T16:03:41.760+0300: 399.159: [Full GC (Ergonomics) [PSYoungGen: 131584K->131575K(153088K)] [ParOldGen: 349277K->349277K(349696K)] 480861K->480853K(502784K), [Metaspace: 9679K->9679K(1058816K)], 1.4358854 secs] [Times: user=5.06 sys=0.00, real=1.44 secs] 
2017-11-08T16:03:50.650+0300: 408.050: [Full GC (Ergonomics) [PSYoungGen: 131584K->131579K(153088K)] [ParOldGen: 349277K->349277K(349696K)] 480861K->480856K(502784K), [Metaspace: 9679K->9679K(1058816K)], 1.0554113 secs] [Times: user=3.89 sys=0.00, real=1.06 secs] 
